FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
AdolescenceLS_2025_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/AdolescenceLS_2025_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/AdolescenceLS_2025_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.804, Avg distance: 40.71)",1321,3003,1062,0.8039364118092355,40.70584170753224,0.996880054473877,0.25,41.300991190749684,0.024212493966100583,0.013590456917881966,0.25
Aladdin_1993_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/Aladdin_1993_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/Aladdin_1993_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.781, Avg distance: 38.09)",1568,3057,1225,0.78125,38.08955385733624,0.9968038201332092,0.0,41.71036412514567,0.023974856632746015,0.009878754615783691,0.0
BirdBox_2018_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/BirdBox_2018_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/BirdBox_2018_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.725, Avg distance: 47.79)",5742,36565,4164,0.7251828631138976,47.78944532746426,0.9955930113792419,0.0,34.39746821909334,0.029071907084281284,0.0308522991836071,0.0
BridgertonS1_2020_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/BridgertonS1_2020_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/BridgertonS1_2020_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.745, Avg distance: 44.15)",3210,13096,2390,0.7445482866043613,44.14667188103728,0.996479332447052,0.0,38.92419966791489,0.025690958543311996,0.013548100367188454,0.0
CarryOn_2024_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/CarryOn_2024_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/CarryOn_2024_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.730, Avg distance: 41.70)",2909,14287,2123,0.7298040563767618,41.69559212287978,0.9926700592041016,0.5,33.89556036683786,0.02950238878417724,0.03877594321966171,0.5
DahmerMonster_2022_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/DahmerMonster_2022_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/DahmerMonster_2022_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.736, Avg distance: 40.83)",993,3629,731,0.7361530715005036,40.82726878751319,0.9963037371635437,0.0,40.876936669488835,0.024463672708293114,0.02040562964975834,0.0
DontLookUp_2021_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/DontLookUp_2021_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/DontLookUp_2021_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.733, Avg distance: 41.05)",929,6858,681,0.7330462863293864,41.05410883640228,0.9955671429634094,0.0,37.37171201523203,0.026758206838167282,0.026005888357758522,0.0
FindingNemo_2003_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/FindingNemo_2003_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/FindingNemo_2003_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.746, Avg distance: 47.82)",7014,36465,5229,0.7455089820359282,47.82346811041957,0.9957542419433594,0.0,36.05498050044576,0.027735419243608707,0.02038375474512577,0.0
Frozen_2014_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/Frozen_2014_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/Frozen_2014_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.775, Avg distance: 44.15)",4088,13463,3170,0.775440313111546,44.1516197825832,0.9962158203125,0.5,37.19185840127177,0.026887605056213192,0.01767161674797535,0.5
InsideOut2_2024_Imagen3_SR_1024x1024_01,GenAI,/Users/t834527/Repos/visionary-validation/data/SR/InsideOut2_2024_Imagen3_SR_1024x1024_01.jpg,/Users/t834527/Repos/visionary-validation/data/SR_2x/InsideOut2_2024_Imagen3_SR_2x_01.jpg,2x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.728, Avg distance: 48.09)",614,1724,447,0.7280130293159609,48.085052262483295,0.9973094463348389,0.0,41.99305224686209,0.023813463096737018,0.009343510493636131,0.0
