FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
0801,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0801.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0801.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.755, Avg distance: 58.39)",3201,31043,2416,0.7547641362074352,58.38719253192674,0.9908244013786316,0.0,29.411629201731586,0.03400015664351996,0.08188963681459427,0.0
0802,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0802.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0802.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.839, Avg distance: 40.68)",965,4997,810,0.8393782383419689,40.679618636472725,0.9962244033813477,0.25,34.91166756829467,0.02864371912466761,0.032485637813806534,0.25
0803,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0803.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0803.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.817, Avg distance: 40.76)",471,1882,385,0.8174097664543525,40.76052945743908,0.996788740158081,0.75,35.548745382780645,0.0281303879850676,0.027512378990650177,0.75
0804,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0804.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0804.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.718, Avg distance: 55.76)",2023,21859,1453,0.7182402372713791,55.75992312434617,0.983192503452301,0.5,26.960171797485152,0.037091751770412684,0.08834381401538849,0.5
0805,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0805.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0805.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.753, Avg distance: 53.16)",1993,21614,1501,0.7531359759157049,53.155080404859795,0.9879205822944641,0.0,29.074242713853348,0.034394704957302916,0.10345740616321564,0.0
0806,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0806.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0806.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.748, Avg distance: 49.49)",1064,9738,796,0.7481203007518797,49.48733851178807,0.9854024052619934,0.0,27.579636686324097,0.03625863572364858,0.07630974054336548,0.0
0807,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0807.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0807.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.707, Avg distance: 56.77)",1753,26159,1239,0.7067883628066173,56.77077654083474,0.929614245891571,0.25,20.633931138568556,0.04846386242565377,0.28478217124938965,0.25
0808,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0808.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0808.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.712, Avg distance: 57.39)",964,12394,686,0.7116182572614108,57.38715931694987,0.9796455502510071,0.0,26.800234824916256,0.0373131058937699,0.08782622218132019,0.0
0809,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0809.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0809.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.769, Avg distance: 56.88)",2316,19872,1781,0.7689982728842832,56.88364584776607,0.9912014603614807,0.25,32.37700018784738,0.030886122685799267,0.05310440436005592,0.25
0810,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0810.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0810.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.731, Avg distance: 55.48)",1592,29924,1164,0.7311557788944724,55.47563691114642,0.9726555347442627,0.0,26.99454514108943,0.037044521208763094,0.1575026959180832,0.0
0811,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0811.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0811.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.741, Avg distance: 56.57)",2055,24094,1522,0.7406326034063261,56.56861127378436,0.9816906452178955,0.0,29.58437471016607,0.033801627034434845,0.09432439506053925,0.0
0812,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0812.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0812.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.705, Avg distance: 55.34)",1582,18627,1116,0.7054361567635904,55.33899596451004,0.9811491966247559,0.0,27.1882894243642,0.03678054122463002,0.09083342552185059,0.0
0813,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0813.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0813.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.755, Avg distance: 54.42)",1490,10000,1125,0.7550335570469798,54.42199373012119,0.9924612045288086,0.5,30.593072440379,0.03268713863077466,0.05372854322195053,0.5
0814,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0814.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0814.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.709, Avg distance: 53.94)",848,10267,601,0.7087264150943396,53.938885534067516,0.9854550361633301,0.5,28.016055147290835,0.0356938189456948,0.060914959758520126,0.5
0815,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0815.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0815.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.773, Avg distance: 51.68)",1931,6885,1492,0.7726566545831176,51.684305664841034,0.9960265755653381,0.75,33.516588839225705,0.02983597181672805,0.02749154157936573,0.75
0816,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0816.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0816.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.737, Avg distance: 53.62)",1295,12533,955,0.7374517374517374,53.623630700935244,0.987541913986206,0.0,31.309604571468434,0.03193908111223072,0.08561225235462189,0.0
0817,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0817.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0817.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.754, Avg distance: 58.29)",2235,12762,1685,0.7539149888143176,58.29381974811724,0.992917537689209,0.5,31.80439703218306,0.031442193322768985,0.04340573772788048,0.5
0818,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0818.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0818.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.717, Avg distance: 57.33)",2274,16839,1630,0.7167985927880387,57.327325629017835,0.9920964241027832,0.0,28.228091276901345,0.03542570378530291,0.04548525810241699,0.0
0819,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0819.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0819.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.729, Avg distance: 57.05)",2348,28353,1712,0.7291311754684838,57.04881588056266,0.9850971102714539,0.5,27.936762788180594,0.03579512800327306,0.07662559300661087,0.5
